municipio,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,freq,share_tracado_via_tipo,share_is_night,share_is_weekend,share_is_single_lane
itaguara,3905,71,905,197,2661,71,1102,2927,2059,0.494414764448762,0.428363283147159,0.47013113161729,0.0276833414278776
barreiras,5653,244,1479,334,3354,242,1813,3179,2046,0.736559139784946,0.383675464320626,0.510263929618768,0.956989247311828
teixeira de freitas,5044,142,955,497,3262,188,1452,3477,2042,0.732125367286974,0.387855044074437,0.452497551420176,0.969147894221352
itabirito,4263,130,1014,551,2472,96,1565,3322,2037,0.436426116838488,0.31566028473245,0.455081001472754,0.780559646539028
rio negrinho,4488,43,1179,365,2805,96,1544,3833,2022,0.704253214638971,0.364985163204748,0.495054401582592,0.995548961424332
jaru,4826,109,1326,458,2780,153,1784,3561,2013,0.73224043715847,0.30153999006458,0.466964729259811,0.931445603576751
uruguaiana,4594,75,1088,312,2963,156,1400,2994,2012,0.743041749502982,0.426938369781312,0.432405566600398,0.948807157057654
picos,4354,176,921,662,2281,314,1583,3569,2010,0.800497512437811,0.416915422885572,0.478109452736318,0.727363184079602
gravatai,3813,70,742,142,2777,82,884,3167,2009,0.9258337481334,0.411149825783972,0.471876555500249,0.0607267297162768
jaciara,4239,127,743,332,2951,86,1075,3564,2005,0.712219451371571,0.31571072319202,0.459351620947631,0.717705735660848
