municipio;pessoas;mortos;feridos_leves;feridos_graves;ignorados;feridos;veiculos;freq;share_tracado_via_tipo_1;share_tracado_via_tipo_2;share_is_night;share_is_weekend;share_is_single_lane;cluster
estancia velha;1942;16;1820;66;40;396;1757;884;0.757918552036199;0.236425339366516;0.350678733031674;0.48868778280543;0.665158371040724;5
eusebio;1866;28;1544;171;123;536;1634;879;0.926052332195677;0.0591581342434585;0.340159271899886;0.398179749715586;0.13424345847554;2
russas;1897;94;1446;271;86;667;1285;879;0.724687144482366;0.268486916951081;0.460750853242321;0.443686006825939;0.971558589306029;5
catu;1964;51;1627;178;108;665;1597;878;0.578587699316629;0.411161731207289;0.33371298405467;0.495444191343964;0.976082004555809;4
monte castelo;1742;53;1434;205;50;608;1403;876;0.678082191780822;0.310502283105023;0.465753424657534;0.494292237442922;0.987442922374429;5
curitibanos;1784;62;1510;166;46;730;1343;860;0.394186046511628;0.582558139534884;0.391860465116279;0.452325581395349;0.98953488372093;4
maua da serra;1548;31;1333;140;44;568;1124;857;0.308051341890315;0.663943990665111;0.372228704784131;0.485414235705951;0.358226371061844;4
paudalho;2046;98;1558;230;160;656;1630;857;0.763127187864644;0.229871645274212;0.336056009334889;0.494749124854142;0.759626604434072;2
pocos de caldas;1758;38;1500;177;43;699;1320;855;0.497076023391813;0.48421052631579;0.378947368421053;0.500584795321637;0.952046783625731;4
nova laranjeiras;1633;86;1354;137;56;541;1183;854;0.430913348946136;0.550351288056206;0.343091334894614;0.488290398126464;0.97423887587822;4
goiatuba;1631;55;1363;175;38;568;1149;853;0.629542790152403;0.355216881594373;0.368112543962485;0.466588511137163;0.153575615474795;2
rio pardo;1844;43;1601;155;45;623;1374;852;0.768779342723005;0.213615023474178;0.419014084507042;0.47887323943662;0.960093896713615;5
sao lourenco da mata;1865;56;1529;157;123;614;1475;846;0.795508274231679;0.186761229314421;0.371158392434988;0.447990543735225;0.433806146572104;2
paraiba do sul;1739;35;1513;124;67;353;1499;845;0.713609467455621;0.285207100591716;0.390532544378698;0.50887573964497;0.956213017751479;5
marques de souza;1900;36;1705;121;38;551;1393;844;0.533175355450237;0.445497630331754;0.389810426540284;0.478672985781991;0.951421800947867;4
terezopolis de goias;1723;33;1467;153;70;525;1365;844;0.822274881516588;0.159952606635071;0.37914691943128;0.514218009478673;0.0118483412322275;2
arcoverde;1772;97;1245;322;108;633;1365;843;0.752075919335706;0.245551601423488;0.500593119810202;0.487544483985765;0.98220640569395;5
aracati;1921;56;1635;154;76;561;1343;837;0.843488649940263;0.149342891278375;0.485065710872163;0.493428912783752;0.913978494623656;5
santo antonio da platina;1910;46;1655;128;81;623;1378;837;0.634408602150538;0.336917562724014;0.415770609318996;0.405017921146953;0.918757467144564;5
maracaja;1593;26;1456;67;44;538;1317;832;0.706730769230769;0.28125;0.399038461538462;0.465144230769231;0.424278846153846;2
mineiros;1896;81;1591;168;56;634;1366;832;0.581730769230769;0.407451923076923;0.381009615384615;0.495192307692308;0.965144230769231;4
marialva;1805;46;1547;159;53;663;1381;830;0.778313253012048;0.201204819277108;0.466265060240964;0.473493975903615;0.0253012048192771;2
mucuri;2146;95;1761;218;72;626;1382;830;0.796385542168675;0.196385542168675;0.409638554216867;0.489156626506024;0.996385542168675;5
rio casca;1667;34;1402;172;59;583;1246;830;0.446987951807229;0.540963855421687;0.367469879518072;0.467469879518072;0.990361445783133;4
